100 9.502e-06
200 7.859e-06
300 9.169e-06
400 9.669e-06
500 1.0306e-05
600 1.1197e-05
700 1.1282e-05
800 1.2191e-05
900 1.1869e-05
1000 1.2497e-05
2000 1.6846e-05
3000 2.1197e-05
4000 2.5716e-05
5000 2.9783e-05
6000 3.4152e-05
7000 3.8257e-05
8000 4.28309999999e-05
9000 4.6555e-05
10000 5.303e-05
20000 9.1768e-05
30000 0.000140956
40000 0.00023828
50000 0.000259752
60000 0.000326406
70000 0.000414885
80000 0.000509253
90000 0.000630948
100000 0.000793515
200000 0.001737096
300000 0.002962965
400000 0.004151726
500000 0.005298229
